,TTCL_dot_dot,TTCD_dot_dot,TBCL_dot_dot,TBCD_dot_dot,LA_dot_dot,LPRO_dot_dot,jaw,tongue,shape,apex,lip_ht,lip_pr,jaw_dot,tongue_dot,shape_dot,apex_dot,lip_ht_dot,lip_pr_dot
0,143999.9999999999,244808.7672557749,-557000.0,-97512.6727436481,-15937.328338622978,42201.566696166985,-2.500797271728516,0.5783915519714355,-1.840572953224182,-0.9950440526008606,0.29036614298820496,-2.741422414779663,-175.07916688919062,-239.47989344596863,-364.34080600738525,387.0616614818573,-44.24932599067688,-136.92615032196045
1,-124999.99999999993,-12945.38543376369,3000.0000000009663,-19568.055139509415,-44598.77014160156,-1559.4840049744362,-1.8072249889373777,2.3772385120391846,1.0623952150344849,1.807062268257141,1.4047818183898926,2.8414423465728764,-10.325229167938298,-5.494785308837846,31.874674558639537,-14.30709362030027,10.65889596939087,12.181425094604448
2,5000.0,35175.29078275903,0.0,-4414.841795341679,-307.75070190415477,5448.770523071306,-2.3619863986968994,-0.5471983551979066,-1.3807013034820557,-1.934560656547546,2.991187810897827,2.202354431152344,17.212939262390137,-17.81447231769561,-7.288205623626709,41.06440544128416,-24.03228282928471,-6.6875457763671875
3,0.0,-29269.883624338745,-5000.0,-11776.718248009654,-18214.22576904297,2534.0080261230114,-1.3465540409088135,-0.7895991206169128,1.5230671167373657,-2.405173540115357,0.4555118978023529,2.5621697902679443,-18.47856044769285,-1.1934280395507924,-1.1562347412109375,-0.03070831298832566,-9.019309282302856,13.927531242370561
4,-15999.999999999944,17759.154545853056,5999.999999999943,24781.526446696487,-15344.429016113349,10394.85931396486,0.16910751163959506,0.7564150094985964,1.7895257472991943,-1.6903622150421145,0.8011848330497741,-2.652188777923584,-5.43054342269897,-0.22355318069458008,20.3538179397583,9.356653690338156,40.81428050994873,3.40814590454106
5,3999.9999999999145,1875.6485148358238,0.0,13799.970254044103,-3848.8388061523438,-1760.9119415283735,-1.1622272729873655,1.9410400390625,-1.3355244398117063,0.30605113506317133,2.833178281784058,2.680555820465088,38.81669044494627,38.641464710235596,-5.244278907775879,-11.397603154182429,29.391765594482422,0.020503997802778784
6,-999.9999999999432,-65329.36064381203,0.0,-65211.765723183635,-2241.0392761229955,-3575.1581192016424,-0.03345380723476409,-0.2348986268043518,-1.6486830711364746,-0.7068392634391785,-0.11651797592639923,-0.3249228298664093,-22.932905144989487,34.358540177345276,35.79506874084473,-22.463327646255493,21.32822796702385,19.857807457447056
7,118999.99999999997,52316.78571656525,0.0,65521.98827478474,5597.114562988281,-13198.614120483398,-0.7520716190338135,-0.797200322151184,-1.5961391925811768,-1.50743818283081,-0.6198952198028564,-0.18646454811096191,14.25943374633788,-32.11777210235594,-23.409640789031982,23.90875816345217,32.032948732376106,42.91252046823502
8,2000.0000000000284,9196.898766204169,-3000.0000000001137,-5548.0933018625565,-27423.095703125102,1469.492912292427,-2.000760793685913,0.6216596961021423,-1.273883819580078,-3.903234004974365,0.2125096172094345,0.1244806721806526,-10.60256958007817,10.237693786621094,3.645634651184082,-11.947894096374512,44.41432841122151,25.627734512090687
9,-999.9999999999432,32096.87441958138,2999.9999999999714,6264.054325683191,15431.690216064666,-12375.426292419434,-2.2979245185852046,0.8652173280715942,1.3310154676437378,-1.4244959354400635,2.7814810276031494,0.10456414520740509,-17.24858283996591,13.167613744735728,-11.227476596832252,22.60127067565918,-29.46424484252925,16.72838777303696
