3.827474744436151610e+01,3.976709469686340270e+01,5.034555435495735765e+01,2.674974622134432423e+01,1.446604675549630414e+01,2.255156517028808594e+01,2.044970035552978516e+01
3.777899269273885352e+01,3.966107430826642855e+01,5.096157044807707592e+01,2.838735786396699723e+01,1.423951722917751894e+01,2.255156517028808594e+01,1.977752923965454102e+01
3.805397987290756134e+01,4.021097905121315819e+01,5.205430541332704308e+01,3.017397170642702520e+01,1.374893046758601756e+01,2.274394989013671875e+01,1.948952198028564453e+01
3.824856888826106882e+01,4.024974979906997419e+01,5.182412264588375450e+01,2.949494274401670424e+01,1.383479368216820404e+01,2.116761207580566406e+01,1.896293878555297852e+01
3.732693684887110663e+01,3.945265190832009239e+01,5.114120300525762985e+01,2.917280668508404062e+01,1.406438328890903300e+01,2.098341941833496094e+01,1.903357505798339844e+01
3.764748744209046549e+01,3.938790565654906572e+01,5.033603677355819883e+01,2.730636757409872928e+01,1.425705618930227736e+01,2.302758216857910156e+01,1.876116037368774414e+01
3.714232613265973271e+01,3.928045512989329069e+01,5.094011675929021266e+01,2.894322952005593663e+01,1.403491397993082401e+01,2.302758216857910156e+01,1.837778687477111816e+01
3.873768179531046485e+01,4.096567906862119912e+01,5.289282565914955825e+01,2.888279585088902124e+01,1.250062727907677740e+01,2.052909851074218750e+01,1.871074557304382324e+01
3.998620831679895105e+01,4.222889422483269328e+01,5.429508889953187634e+01,2.891724517266829508e+01,1.144039585311575635e+01,2.082935333251953125e+01,1.865738630294799805e+01
4.019507510897536662e+01,4.226990754331774269e+01,5.404373033161706985e+01,2.813118665305044175e+01,1.153297288162193723e+01,1.978229522705078125e+01,1.861577510833740234e+01
4.013582564327264635e+01,4.212503231537563408e+01,5.375469932156546804e+01,2.834040825790149043e+01,1.186512740390738507e+01,1.991517066955566406e+01,1.856481790542602539e+01
4.064623034906159660e+01,4.278840418330951678e+01,5.471671855663955597e+01,2.797801678879615750e+01,1.093945508466460659e+01,1.722348213195800781e+01,1.897751927375793457e+01
3.921463970320549208e+01,4.158758926493010932e+01,5.363755517373077453e+01,2.762065472042071335e+01,1.095941702284318708e+01,1.582230567932128906e+01,1.916424632072448730e+01
4.096929797698884101e+01,4.338415438795557577e+01,5.568992400986119407e+01,2.750897716467413190e+01,9.344426325782562159e+00,1.582230567932128906e+01,1.954774856567382812e+01
4.066321881372086722e+01,4.314428381231241616e+01,5.549276211158937144e+01,2.740886371609583705e+01,9.280774320784741960e+00,1.582230567932128906e+01,1.954774856567382812e+01
4.097503567793377499e+01,4.346185105851260744e+01,5.585113884406127482e+01,2.738749976725148372e+01,8.998054043606369845e+00,1.509602546691894531e+01,1.978304386138916016e+01
4.144149982685964062e+01,4.354717293492885943e+01,5.530498068310515691e+01,2.564144131738402521e+01,9.195479004855370064e+00,1.748363494873046875e+01,2.009715080261230469e+01
3.662908672426235768e+01,3.415659406535603893e+01,3.486140322522182800e+01,1.106442868795067369e+01,2.250583703291986382e+01,2.700279235839843750e+01,1.276800155639648438e+01
3.780064936073465987e+01,3.514409893406969587e+01,3.497170133305047557e+01,1.024205243226237627e+01,2.227527072713382950e+01,2.728679656982421875e+01,1.283344745635986328e+01
3.667100800114396009e+01,3.371278195359043650e+01,3.291984256040103674e+01,1.058133860664817227e+01,2.388791294666654608e+01,2.731275558471679688e+01,1.282349348068237305e+01
